ObjectID,Loc_name,Status,Score,Match_type,Match_addr,LongLabel,ShortLabel,Addr_type,Type,PlaceName,Place_addr,Phone,URL,Rank,BuildingName,AddressNumber,AddNumFrom,AddNumTo,AddressRange,Side,StPreDir,StPreType,StName,StType,StDir,BldgType,BldgName,LevelType,LevelName,UnitType,UnitName,SubAddress,StAddr,Block,Sector,Neighborhood,District,City,MetroArea,Subregion,Region,RegionAbbr,Territory,Zone,Postal,PostalExt,Country,LangCode,Distance,X,Y,Z,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax,Zmin,Zmax,ExtraInfo,ResultID,Address or Place,Address2,Address3,Neighborhood,City,County,State,ZIP,ZIP4,Country,Field1,Price,Living Area,Street Address,City,Zip,State,Country,Z
12,World,M,100,A,"102 Deerfield Ct, Selinsgrove, Pennsylvania, 17870","102 Deerfield Ct, Selinsgrove, PA, 17870, USA",102 Deerfield Ct,PointAddress,,,"102 Deerfield Ct, Selinsgrove, Pennsylvania, 17870",,,20,,102,,,,,,,Deerfield,Ct,,,,,,,,,102 Deerfield Ct,,,,,Selinsgrove,,Snyder County,Pennsylvania,PA,,,17870,8617,USA,ENG,0,-76.87896822,40.81873066,130.211792,-76.878915,40.818961,-76.879915,-76.877915,40.817961,40.819961,130.211792,130.211792,,13,102 Deerfield Ct,,,,Selinsgrove,,PA,17870,,USA,13,389000,2534,102 Deerfield Ct,Selinsgrove,17870,PA,USA,
13,World,M,100,A,"109 E Pine St, Selinsgrove, Pennsylvania, 17870","109 E Pine St, Selinsgrove, PA, 17870, USA",109 E Pine St,PointAddress,,,"109 E Pine St, Selinsgrove, Pennsylvania, 17870",,,20,,109,,,,,E,,Pine,St,,,,,,,,,109 E Pine St,,,,,Selinsgrove,,Snyder County,Pennsylvania,PA,,,17870,1997,USA,ENG,0,-76.86002839,40.79904241,131.2798462,-76.860047,40.79893202,-76.861047,-76.859047,40.79793202,40.79993202,131.2798462,131.2798462,,6,109 E Pine St,,,,Selinsgrove,,PA,17870,,USA,6,186500,3774,109 E Pine St,Selinsgrove,17870,PA,USA,
15,World,M,100,A,"1164 Grangers Rd, Selinsgrove, Pennsylvania, 17870","1164 Grangers Rd, Selinsgrove, PA, 17870, USA",1164 Grangers Rd,PointAddress,,,"1164 Grangers Rd, Selinsgrove, Pennsylvania, 17870",,,20,,1164,,,,,,,Grangers,Rd,,,,,,,,,1164 Grangers Rd,,,,,Selinsgrove,,Snyder County,Pennsylvania,PA,,,17870,7719,USA,ENG,0,-76.84259781,40.87596615,161.0950317,-76.842617,40.87764002,-76.843617,-76.841617,40.87664002,40.87864002,161.0950317,161.0950317,,16,1164 Grangers Rd,,,,Selinsgrove,,PA,17870,,USA,16,997500,7220,1164 Grangers Rd,Selinsgrove,17870,PA,USA,
10,World,M,100,A,"14 Lost Creek Dr, Selinsgrove, Pennsylvania, 17870","14 Lost Creek Dr, Selinsgrove, PA, 17870, USA",14 Lost Creek Dr,PointAddress,,,"14 Lost Creek Dr, Selinsgrove, Pennsylvania, 17870",,,20,,14,,,,,,,Lost Creek,Dr,,,,,,,,,14 Lost Creek Dr,,,,,Selinsgrove,,Snyder County,Pennsylvania,PA,,,17870,9358,USA,ENG,0,-76.85644295,40.83363222,146.680069,-76.85644404,40.83384101,-76.85744404,-76.85544404,40.83284101,40.83484101,146.680069,146.680069,,12,14 Lost Creek Dr,,,,Selinsgrove,,PA,17870,,USA,12,325000,2226,14 Lost Creek Dr,Selinsgrove,17870,PA,USA,
17,World,M,100,A,"14 N Red Maple St, Selinsgrove, Pennsylvania, 17870","14 N Red Maple St, Selinsgrove, PA, 17870, USA",14 N Red Maple St,PointAddress,,,"14 N Red Maple St, Selinsgrove, Pennsylvania, 17870",,,20,,14,,,,,N,,Red Maple,St,,,,,,,,,14 N Red Maple St,,,,,Selinsgrove,,Snyder County,Pennsylvania,PA,,,17870,7429,USA,ENG,0,-76.8355881,40.83644506,145.951416,-76.83573998,40.83660599,-76.83673998,-76.83473998,40.83560599,40.83760599,145.951416,145.951416,,17,14 N Red Maple St,,,,Selinsgrove,,PA,17870,,USA,17,174900,1364,14 N Red Maple St,Selinsgrove,17870,PA,USA,
14,World,M,100,A,"170 Augusta Dr, Selinsgrove, Pennsylvania, 17870","170 Augusta Dr, Selinsgrove, PA, 17870, USA",170 Augusta Dr,PointAddress,,,"170 Augusta Dr, Selinsgrove, Pennsylvania, 17870",,,20,,170,,,,,,,Augusta,Dr,,,,,,,,,170 Augusta Dr,,,,,Selinsgrove,,Snyder County,Pennsylvania,PA,,,17870,9152,USA,ENG,0,-76.85649726,40.83263259,232.9570313,-76.85649299,40.83289101,-76.85749299,-76.85549299,40.83189101,40.83389101,232.9570313,232.9570313,,15,170 Augusta Dr,,,,Selinsgrove,,PA,17870,,USA,15,362050,2112,170 Augusta Dr,Selinsgrove,17870,PA,USA,
25,World,M,100,A,"213 S Market St, Selinsgrove, Pennsylvania, 17870","213 S Market St, Selinsgrove, PA, 17870, USA",213 S Market St,PointAddress,,,"213 S Market St, Selinsgrove, Pennsylvania, 17870",,,20,,213,,,,,S,,Market,St,,,,,,,,,213 S Market St,,,,,Selinsgrove,,Snyder County,Pennsylvania,PA,,,17870,1813,USA,ENG,0,-76.86264036,40.79690171,143.3861542,-76.86251002,40.79686299,-76.86351002,-76.86151002,40.79586299,40.79786299,143.3861542,143.3861542,,22,213 S Market St,,,,Selinsgrove,,PA,17870,,USA,22,148000,1612,213 S Market St,Selinsgrove,17870,PA,USA,
33,World,M,100,A,"214 N Market St, Selinsgrove, Pennsylvania, 17870","214 N Market St, Selinsgrove, PA, 17870, USA",214 N Market St,StreetAddress,,,"214 N Market St, Selinsgrove, Pennsylvania, 17870",,,20,,214,208,238,208-238,L,N,,Market,St,,,,,,,,,214 N Market St,,,,,Selinsgrove,,Snyder County,Pennsylvania,PA,,,17870,1908,USA,ENG,0,-76.86099107,40.80205916,133.4315643,-76.86099107,40.80205916,-76.86199107,-76.85999107,40.80105916,40.80305916,133.4315643,133.4315643,,33,214 N Market St,,,,Selinsgrove,,PA,17870,,USA,33,2650000,20420,214 N Market St,Selinsgrove,17870,PA,USA,
21,World,M,100,A,"220 E Blackberry Aly, Selinsgrove, Pennsylvania, 17870","220 E Blackberry Aly, Selinsgrove, PA, 17870, USA",220 E Blackberry Aly,StreetAddress,,,"220 E Blackberry Aly, Selinsgrove, Pennsylvania, 17870",,,20,,220,200,298,200-298,L,E,,Blackberry,Aly,,,,,,,,,220 E Blackberry Aly,,,,,Selinsgrove,,Snyder County,Pennsylvania,PA,,,17870,2142,USA,ENG,0,-76.85754699,40.7989432,130.0623474,-76.85754699,40.7989432,-76.85854699,-76.85654699,40.7979432,40.7999432,130.0623474,130.0623474,,21,220 E Blackberry Aly,,,,Selinsgrove,,PA,17870,,USA,21,179900,1170,220 E Blackberry Aly,Selinsgrove,17870,PA,USA,
29,World,M,100,A,"24 Limerick Ln, Selinsgrove, Pennsylvania, 17870","24 Limerick Ln, Selinsgrove, PA, 17870, USA",24 Limerick Ln,PointAddress,,,"24 Limerick Ln, Selinsgrove, Pennsylvania, 17870",,,20,,24,,,,,,,Limerick,Ln,,,,,,,,,24 Limerick Ln,,,,,Selinsgrove,,Snyder County,Pennsylvania,PA,,,17870,7668,USA,ENG,0,-76.85994575,40.83387471,143.3861542,-76.85998397,40.83412499,-76.86098397,-76.85898397,40.83312499,40.83512499,143.3861542,143.3861542,,30,24 Limerick Ln,,,,Selinsgrove,,PA,17870,,USA,30,249900,1824,24 Limerick Ln,Selinsgrove,17870,PA,USA,
